id;address;pricePerSqm;yearBuilt;sourceLink;salePrice;size;roomInfo;houseType;postcode
1275;Nokkalantie 14, Laanila Oulu;1074;1983;http://www.etuovi.com/kohde/1194712?sc=M1042147289&pos=1303;268500;250;3mh+oh+k+takkah+monitoimitila+s+ph+työhuoneet ja v;Omakotitalo;90500
1304;Purjehtijantie 2, Niittyaro Oulu;1287;1990;http://www.etuovi.com/kohde/1194072?sc=M1042147289&pos=1353;92000;71.5;3h, k, s;Kerrostalo;90560
1314;Salavakuja 2, Oulunsalo Oulu;1361;1986;http://www.etuovi.com/kohde/9521633?sc=M1042147289&pos=1343;115000;84.5;4h+k+s;Rivitalo;90460
1316;Rautiolantie 8-10, Haukipudas Oulu;1658;2007;http://www.etuovi.com/kohde/2204638?sc=M1042147289&pos=1345;126000;76;Rt 3h,k,kph,s,wc,vh,parvi;Rivitalo;90840
1399;Viitankuja 2, Kiiminki Oulu;1430;1990;http://www.etuovi.com/kohde/1194848?sc=M1042147289&pos=1432;108000;75.5;3h+k+s;Rivitalo;90900
1406;Torikatu 78 B, Heinäpää Oulu;2290;1972;http://www.etuovi.com/kohde/7732071?sc=M1042147289&pos=1439;158000;69;3h, k, kph;Kerrostalo;90120
1440;Meritullinraitti 1, Keskusta Oulu;3452;1999;http://www.etuovi.com/kohde/1194841?sc=M1042147289&pos=1464;145000;42;2h, kk, s;Kerrostalo;90590
1448;Pylvästie 3, Pateniemi Oulu;1194;1982;http://www.etuovi.com/kohde/9692642?sc=M1042147289&pos=1482;129000;108;3 mh, oh, k, s, ph, khh, at, var;Paritalo;90800
1450;KAISLATIE 3 S 51, LINTULA Oulu;1194;1971;http://www.etuovi.com/kohde/e44228?sc=M1042147289&pos=1484;75824;63.5;3H+K;Kerrostalo;90160
1526;Juolavehnätie 1, Rajakylä Oulu;742;1973;http://www.etuovi.com/kohde/1194788?sc=M1042147289&pos=1562;59000;79.5;3h, k;Rivitalo;90580
1591;Vehmaankuja 7, Kiiminki Oulu;1329;2003;http://www.etuovi.com/kohde/1194365?sc=M1042147289&pos=1630;198000;149;5mh, oh, k, 2wc, khh, kph, s, vh, terassi, ulkosau;Omakotitalo;90900
1641;Virtaojantie 22, Virtaoja Oulu;2058;2001;http://www.etuovi.com/kohde/9549869?sc=M1042147289&pos=1682;284000;138;4h,k,aula,2wc,khh,kph,s;Omakotitalo;90420
1657;Tyveläntie 5, Pateniemi Oulu;1121;1968;http://www.etuovi.com/kohde/e43968?sc=M1042147289&pos=1718;185000;165;5h+k+khh+ph+sa+terassi+pihaa;Omakotitalo;90800
1695;Ampiaistie 19, Puolivälinkangas Oulu;886;1964;http://www.etuovi.com/kohde/583616?sc=M1042147289&pos=1708;85900;97;3h,k,s+Autotalli;Omakotitalo;90550
1751;Koskelantie 66 A, Toppila Oulu;1264;1963;http://www.etuovi.com/kohde/7730030?sc=M1042147289&pos=1794;69500;55;2h, k;Kerrostalo;90520
1753;Postimestarintie 4 B, Mäntylä Oulu;1363;1983;http://www.etuovi.com/kohde/583995?sc=M1042147289&pos=1796;81800;60;2h,k,kph/s,parveke;Kerrostalo;90150
1779;Takavainiontie 1 as, Koskela Oulu;1585;1985;http://www.etuovi.com/kohde/7731858?sc=M1042147289&pos=1827;158500;100;4h, k, s;Paritalo;90560
1780;Tiedonkaari 7 E, Syynimaa Oulu;1829;1989;http://www.etuovi.com/kohde/7731874?sc=M1042147289&pos=1828;128000;70;3h, k, s;Rivitalo;90570
1781;Ossauksentie 5, Haukipudas Oulu;1548;2005;http://www.etuovi.com/kohde/7731987?sc=M1042147289&pos=1829;195000;126;5h, k, s;Omakotitalo;90830
1795;Toukolankaari 22, Kiviniemi Oulu;240;1997;http://www.etuovi.com/kohde/e43936?sc=M1042147289&pos=1843;20359.09;85;4h+k+s;Rivitalo;90420
1802;Kihokkitie 5 as39, Lintula Oulu;1701;1965;http://www.etuovi.com/kohde/7732277?sc=M1042147289&pos=1850;92688;54.5;2h, k, parveke;Kerrostalo;90160
1843;Kartanotie 2 F 27, Knuutilanranta Oulu;1580;1984;http://www.etuovi.com/kohde/9619580?sc=M1042147289&pos=1891;124000;78.5;3h+k+s;Rivitalo;90230
1932;Jäälinkangas 21, Jääli Oulu;1261;1972;http://www.etuovi.com/kohde/9440671?sc=M1042147289&pos=1990;150000;119;5h,k,khh,kph,s,erill wcx2, at;Omakotitalo;90940
1950;Hanhitie 13 A, Höyhtyä Oulu;3520;2017;http://www.etuovi.com/kohde/c96863?sc=M1042147289&pos=1978;154900;44;2h+kk+s;Kerrostalo;90150
2015;Mataratie 18 C, Rajakylä Oulu;1092;1977;http://www.etuovi.com/kohde/584212?sc=M1042147289&pos=2054;89000;81.5;3h, k;Rivitalo;90580
2020;Liisantie 1 D, Koskela Oulu;1304;1970;http://www.etuovi.com/kohde/584293?sc=M1042147289&pos=2055;73000;56;2h,k,ph,parveke;Kerrostalo;90560
2067;Kautotie 6, Hintta Oulu;1844;1989;http://www.etuovi.com/kohde/1194378?sc=M1042147289&pos=2117;295000;160;5mh, 2wc, oh, k, s, kh/khh, autotalli;Omakotitalo;90650
2091;Nummikatu 42, Keskusta Oulu;2529;1923;http://www.etuovi.com/kohde/9473172?sc=M1042147289&pos=2141;129000;51;tupakeittiö, makuuhuone, kylpyhuone;Kerrostalo;90100
2092;Paulaharjuntie 39, Välivainio Oulu;2640;1958;http://www.etuovi.com/kohde/9913858?sc=M1042147289&pos=2142;264000;100;5h,k,khh,kph,s,2*wc;Omakotitalo;90530
2096;Ylänkötie 13, Kirkkokangas Oulu;1991;1956;http://www.etuovi.com/kohde/9813849?sc=M1042147289&pos=2146;229000;115;Oh, k, 3mh, 2xwc, s, kph, kellarikerros;Omakotitalo;90650
2147;Piltontie 4, Kiviniemi-Kello Oulu;577;1977;http://www.etuovi.com/kohde/1193909?sc=M1042147289&pos=2208;198000;343;11h+k+kk+3kph+2s+at+ak+vh;Omakotitalo;90810
2148;Vaunumiehenkuja 6, Herukka Oulu;1186;1982;http://www.etuovi.com/kohde/1194111?sc=M1042147289&pos=2209;137000;115.5;4h, k, ph, s, wc, aula, AK;Omakotitalo;90800
2166;Rastaansiipi 9 A 2, Kirkkokangas Oulu;3168;2016;http://www.etuovi.com/kohde/e43833?sc=M1042147289&pos=2197;224900;71;3h+K+S+KHH+WC+VH+AK;Erillistalo;90650
2169;Kaarnakuja 1 A, Jääli Oulu;1435;2002;http://www.etuovi.com/kohde/7724786?sc=M1042147289&pos=2200;99000;69;3h, k, s;Rivitalo;90940
2183;Kaislatie 11 as, Lintula Oulu;1076;1968;http://www.etuovi.com/kohde/584416?sc=M1042147289&pos=2234;85000;79;Oh, 2mh, ruokailuh, ph, wc, vh, las.parv.;Kerrostalo;90160
2201;Tuulimyllynkatu 13, Karjasilta Oulu;2200;1955;http://www.etuovi.com/kohde/9969171?sc=M1042147289&pos=2272;154000;70;3h,kk,kph/wc,vh;Kerrostalo;90140
2203;Raivaajantie 3, Karjasilta Oulu;1409;1949;http://www.etuovi.com/kohde/1193353?sc=M1042147289&pos=2274;198000;140.5;3h, k, s, tkh, khh, vh;Omakotitalo;90140
2242;Siljonkatu 71 C, Etu-Lyötty Oulu;3073;2012;http://www.etuovi.com/kohde/584528?sc=M1042147289&pos=2313;252000;82;3h,k,ph,sauna,wc,2 parveketta;Kerrostalo;90120
2259;Sorvarintie 4 A, Välivainio Oulu;2787;2011;http://www.etuovi.com/kohde/7712881?sc=M1042147289&pos=2330;124000;44.5;2h, k, s;Kerrostalo;90530
2265;Ponnontie 15, Kiiminki Oulu;1667;2009;http://www.etuovi.com/kohde/9853788?sc=M1042147289&pos=2296;145000;87;3h,k,wc,khh,s;Paritalo;90900
2305;Rautatienkatu 6, Oulu Oulu;2200;1957;http://www.etuovi.com/kohde/9450679?sc=M1042147289&pos=2369;99000;45;Liikehuoneisto;Kerrostalo;90100
2362;Soirotie 9, Pateniemi Oulu;1329;1985;http://www.etuovi.com/kohde/9488218?sc=M1042147289&pos=2437;46500;35;1h,kk,s;Rivitalo;90800
2379;Miekatintie 1 B, Kaakkuri Oulu;1636;1992;http://www.etuovi.com/kohde/7731374?sc=M1042147289&pos=2434;126000;77;3h, k, s;Luhtitalo;90410
2411;Tervaraitti 4, Meritulli Oulu;329;1999;http://www.etuovi.com/kohde/e43748?sc=M1042147289&pos=2456;18761.13;57;2H+K+S;Kerrostalo;90100
2419;Tuppelantie 20, Saarela Oulu;929;1960;http://www.etuovi.com/kohde/7731561?sc=M1042147289&pos=2494;130000;140;Alak. Oh, 2 mh, k, s, pesuh, pukuh, wc Yläkerta: t;Omakotitalo;90650
2446;Paulatie 37 A, Kiviniemi Oulu;1250;1990;http://www.etuovi.com/kohde/7731449?sc=M1042147289&pos=2521;135000;108;5h, k, s;Paritalo;90810
2457;Teuvo Pakkalan Katu 4, Raksila Oulu;3056;1991;http://www.etuovi.com/kohde/9604563?sc=M1042147289&pos=2528;217000;71;3h, k, s, mkt/th + 10 m2;Rivitalo;90100
2502;Ravanderintie 1, Kaijonranta Oulu;990;1979;http://www.etuovi.com/kohde/1194231?sc=M1042147289&pos=2574;99000;100;4h,k,kph,s,vh,erill wc,AK;Kerrostalo;90570
2516;Maahisentie 1 D, Puolivälinkangas Oulu;1358;1967;http://www.etuovi.com/kohde/7731686?sc=M1042147289&pos=2593;122893;90.5;4h, k;Kerrostalo;90550
2537;Varpushaukantie 3, Kaukovainio Oulu;1208;1969;http://www.etuovi.com/kohde/1193743?sc=M1042147289&pos=2640;78500;65;3h, k, kh, vh, lasitettu parveke;Kerrostalo;90250
2555;Metsänkuninkaantie 1 A 17, Hiironen Oulu;3272;2017;http://www.etuovi.com/kohde/e43496?sc=M1042147289&pos=2670;112900;34.5;2h+kt+parvek.;Kerrostalo;90250
2564;Metsänkuninkaantie 1 A 28, Hiironen Oulu;3746;2017;http://www.etuovi.com/kohde/e43499?sc=M1042147289&pos=2669;89900;24;1h+kk+parveke;Kerrostalo;90250
2584;Nokikanantie 4 B, Höyhtyä Oulu;1875;1960;http://www.etuovi.com/kohde/d78482?sc=M1042147289&pos=2689;135000;72;3h+k+kh+kellaritilaa;Rivitalo;90150
2618;Kasarmintie 20 A 67, Kasarminranta Oulu;4852;2018;http://www.etuovi.com/kohde/e43479?sc=M1042147289&pos=2715;468200;96.5;4h+kt+s;Kerrostalo;90100
2620;Mallastie 4, Toppilansalmi Oulu;3422;2012;http://www.etuovi.com/kohde/1194560?sc=M1042147289&pos=2717;219000;64;3h, k, s;Kerrostalo;90520
2646;Rannantie 154, Haukipudas Oulu;2084;2011;http://www.etuovi.com/kohde/7732081?sc=M1042147289&pos=2754;298000;143;4h, k, khh, kph, s, wc, 2*vh, viherhuone;Omakotitalo;90830
2667;Rastaansiipi 9 A, Kirkkokangas Oulu;3168;2016;http://www.etuovi.com/kohde/e43436?sc=M1042147289&pos=2775;224900;71;3h+K+S+KHH+WC+VH+AK;Rivitalo;90650
2687;Lempiniementie 19, Kiiminki Oulu;842;1974;http://www.etuovi.com/kohde/7731982?sc=M1042147289&pos=2806;139000;165;5h+k+ph+ph+sa+wc+var ja talousrak+ak;Omakotitalo;90900
2696;Kilpukkapiha 3, Haukipudas, Santaholma Oulu;1285;1996;http://www.etuovi.com/kohde/584085?sc=M1042147289&pos=2785;149800;116.6;3h,tupak,khh,kph/wc,s,wc,et,at,var,tekn.;Omakotitalo;90830
